x.number,func1.number,func2.number,func3.number
0,63.4,62.7,72.2
1,58,59.9,67.7
2,53.3,59.1,69.4
3,55.7,58.8,68
4,64.2,58.7,72.4
5,58.8,57,77
6,57.9,56.7,82.3
7,61.8,56.8,78.9
8,69.3,56.7,68.8
9,71.2,60.1,68.7
10,68.7,61.1,70.3
11,61.8,61.5,75.3
12,63,64.3,76.6
13,66.9,67.1,66.6
14,61.7,64.6,68
15,61.8,61.6,70.6
16,62.8,61.1,71.1
17,60.8,59.2,70
18,62.1,58.9,61.6
19,65.1,57.2,57.4
20,55.6,56.4,64.3
21,54.4,60.7,72.4
22,54.4,65.1,72.4
23,54.8,60.9,72.5
24,57.9,56.1,72.7
25,54.6,54.6,73.4
26,54.4,56.1,70.7
27,42.5,58.1,56.8
28,40.9,57.5,51
29,38.6,57.7,54.9
30,44.2,55.1,58.8
31,49.6,57.9,62.6
32,47.2,64.6,71
33,50.1,56.2,58.4
34,50.1,50.5,45.1
35,43.5,51.3,52.2
36,43.8,52.6,73
37,48.9,51.4,75.4
38,55.5,50.6,72.1
39,53.7,54.6,56.6
40,57.7,55.6,55.4
41,48.5,53.9,46.7
42,46.8,54,62
43,51.1,53.8,71.6
44,56.8,53.5,75.5
45,59.7,53.4,72.1
46,56.5,52.2,65.7
47,49.6,52.7,56.8
48,41.5,53.1,49.9
49,44.3,49,71.7
50,54,50.4,77.7
51,54.1,51.1,76.4
52,49.4,52.3,68.8
53,50,54.6,57
54,44,55.1,55.5
55,50.3,51.5,61.6
56,52.1,53.6,64.1
57,49.6,52.3,51.1
58,57.2,51,43
59,59.1,49.5,46.4
60,50.6,49.8,48
61,44.3,60.4,48.1
62,43.9,62.2,60.6
63,42.1,58.3,62.6
64,43.9,52.7,57.1
65,50.2,51.5,44.2
66,54.2,49.9,37.4
67,54.6,48.6,35
68,43.4,46.4,37
69,42.2,49.8,45.4
70,45,52.1,50.7
71,33.8,48.8,48.6
72,36.8,47.4,52.2
73,38.6,47.2,60.8
74,41.9,46.1,70
75,49.6,48.8,64.2
76,50.2,47.9,50.9
77,40.6,49.8,51.6
78,29.1,49.1,55.2
79,33.7,48.3,62.1
80,45.8,49.3,56.3
81,47.4,48.4,47.2
82,54.4,53.3,52.3
83,47.8,47.5,45.2
84,34.9,47.9,43.6
85,35.9,48.9,42.9
86,43.6,45.9,48.2
87,42.9,47.2,45.4
88,46.2,48.9,44.2
89,30.8,50.9,50.4
90,40.8,52.9,52.4
91,49.8,50.1,53.5
92,46.3,53.9,55.9
93,43.2,53.1,48.2
94,30.3,49.7,41
95,19.2,52.7,48.9
96,32.1,52.6,54.8
97,41.2,49,61.2
98,47,51,59.7
99,46,56.8,52.5
100,34.7,52.3,54
101,39.4,51.6,47.7
102,40.4,49.8,49.2
103,45.4,51.9,48.4
104,40.7,53.7,40.2
105,30.4,52.9,43.9
106,23.9,49.7,45.2
107,22.6,45.3,65
108,39.8,43.6,68.2
109,43.2,45,47.5
110,26.3,47.3,57.1
111,32.8,51.4,61.9
112,27.4,53.7,54.6
113,25,48.3,56.7
114,39.4,52.9,54.4
115,48.7,49.1,52.7
116,43,52.1,61.8
117,37.1,53.6,55
118,48.2,50.4,50.7
119,43.7,50.3,52.9
120,40.1,53.8,44.4
121,38,51.9,49.1
122,43.5,50,62.8
123,50.4,50,64.6
124,45.8,51.3,61.1
125,37.5,51.5,70
126,40.8,52,61.3
127,36.5,53.8,48.2
128,39.1,54.6,44.2
129,43.2,54.3,51.3
130,36.5,51.9,49.2
131,36.5,53.8,45.7
132,38.3,53.9,54.1
133,36.9,52.3,44.9
134,29.7,50.1,36.5
135,33.1,49.5,44.8
136,39.6,48.6,52.3
137,42.3,49.9,68
138,39.7,52.4,54.6
139,46,49.9,53.8
140,41.2,51.6,56.2
